// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ujayn\Source\Repos\RestClientInvest\RestClientInvest\bin\Release\netcoreapp3.1\2f2fb233-5b6b-4444-8ee6-7bff9dd6c41f
// command took 1.32s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Users\ujayn\Source\Repos\RestClientInvest\RestClientInvest\bin\Release\netcoreapp3.1\2f2fb233-5b6b-4444-8ee6-7bff9dd6c41f
// command took 1.87s and exited with 0
// ***** Done, took 00:00:03 (3.35 sec)   *****
// Found 1 benchmarks:
//   Request.MainRequest: DefaultJob

// **************************
// Benchmark: Request.MainRequest: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "2f2fb233-5b6b-4444-8ee6-7bff9dd6c41f.dll" --benchmarkName "RestClientInvest.Request.MainRequest" --job "Default" --benchmarkId 0 in C:\Users\ujayn\Source\Repos\RestClientInvest\RestClientInvest\bin\Release\netcoreapp3.1\2f2fb233-5b6b-4444-8ee6-7bff9dd6c41f\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.0 (CoreCLR 4.700.19.56402, CoreFX 4.700.19.56404), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 240500.00 ns, 240.5000 us/op
a[913] assigned
a[914] assigned
a[915] assigned
a[916] assigned
a[917] assigned
a[918] assigned
a[919] assigned
a[920] assigned
a[921] assigned
a[922] assigned
a[166] assigned
a[249] assigned
a[415] assigned
a[498] assigned
a[747] assigned
a[923] assigned
a[0] assigned
a[581] assigned
a[664] assigned
a[83] assigned
a[332] assigned
a[167] assigned
a[996] assigned
a[250] assigned
a[416] assigned
a[499] assigned
a[830] assigned
a[748] assigned
a[924] assigned
a[582] assigned
a[2] assigned
a[665] assigned
a[84] assigned
a[168] assigned
a[333] assigned
a[997] assigned
a[251] assigned
a[417] assigned
a[749] assigned
a[831] assigned
a[500] assigned
a[3] assigned
a[925] assigned
a[583] assigned
a[666] assigned
a[85] assigned
a[169] assigned
a[334] assigned
a[252] assigned
a[998] assigned
a[418] assigned
a[832] assigned
a[750] assigned
a[501] assigned
a[584] assigned
a[4] assigned
a[926] assigned
a[667] assigned
a[86] assigned
a[170] assigned
a[335] assigned
a[253] assigned
a[419] assigned
a[999] assigned
a[833] assigned
a[502] assigned
a[751] assigned
a[585] assigned
a[5] assigned
a[668] assigned
a[927] assigned
a[87] assigned
a[336] assigned
a[171] assigned
a[254] assigned
a[8] assigned
a[420] assigned
a[834] assigned
a[752] assigned
a[503] assigned
a[586] assigned
a[6] assigned
a[928] assigned
a[669] assigned
a[9] assigned
a[88] assigned
a[255] assigned
a[172] assigned
a[337] assigned
a[421] assigned
a[835] assigned
a[587] assigned
a[753] assigned
a[504] assigned
a[7] assigned
a[929] assigned
a[670] assigned
a[10] assigned
a[173] assigned
a[89] assigned
a[338] assigned
a[422] assigned
a[256] assigned
a[836] assigned
a[505] assigned
a[588] assigned
a[754] assigned
a[16] assigned
a[930] assigned
a[671] assigned
a[339] assigned
a[423] assigned
a[257] assigned
a[90] assigned
a[11] assigned
a[174] assigned
a[837] assigned
a[589] assigned
a[506] assigned
a[931] assigned
a[17] assigned
a[755] assigned
a[672] assigned
a[12] assigned
a[91] assigned
a[340] assigned
a[424] assigned
a[258] assigned
a[175] assigned
a[838] assigned
a[507] assigned
a[590] assigned
a[18] assigned
a[756] assigned
a[932] assigned
a[673] assigned
a[839] assigned
a[425] assigned
a[341] assigned
a[259] assigned
a[176] assigned
a[92] assigned
a[508] assigned
a[13] assigned
a[591] assigned
a[19] assigned
a[757] assigned
a[933] assigned
a[674] assigned
a[260] assigned
a[840] assigned
a[177] assigned
a[342] assigned
a[426] assigned
a[93] assigned
a[14] assigned
a[592] assigned
a[509] assigned
a[758] assigned
a[20] assigned
a[934] assigned
a[675] assigned
a[261] assigned
a[178] assigned
a[841] assigned
a[427] assigned
a[15] assigned
a[343] assigned
a[94] assigned
a[21] assigned
a[510] assigned
a[676] assigned
a[759] assigned
a[593] assigned
a[935] assigned
a[179] assigned
a[262] assigned
a[842] assigned
a[95] assigned
a[344] assigned
a[428] assigned
a[24] assigned
a[22] assigned
a[677] assigned
a[936] assigned
a[760] assigned
a[594] assigned
a[511] assigned
a[843] assigned
a[263] assigned
a[180] assigned
a[96] assigned
a[25] assigned
a[429] assigned
a[23] assigned
a[678] assigned
a[937] assigned
a[345] assigned
a[512] assigned
a[761] assigned
a[595] assigned
a[264] assigned
a[181] assigned
a[844] assigned
a[97] assigned
a[26] assigned
a[40] assigned
a[679] assigned
a[346] assigned
a[513] assigned
a[938] assigned
a[596] assigned
a[762] assigned
a[182] assigned
a[430] assigned
a[265] assigned
a[845] assigned
a[98] assigned
a[27] assigned
a[680] assigned
a[41] assigned
a[347] assigned
a[763] assigned
a[597] assigned
a[514] assigned
a[939] assigned
a[431] assigned
a[266] assigned
a[183] assigned
a[846] assigned
a[28] assigned
a[99] assigned
a[348] assigned
a[681] assigned
a[42] assigned
a[515] assigned
a[764] assigned
a[940] assigned
a[598] assigned
a[267] assigned
a[432] assigned
a[184] assigned
a[349] assigned
a[29] assigned
a[100] assigned
a[43] assigned
a[847] assigned
a[682] assigned
a[516] assigned
a[765] assigned
a[941] assigned
a[599] assigned
a[433] assigned
a[185] assigned
a[268] assigned
a[44] assigned
a[30] assigned
a[101] assigned
a[350] assigned
a[683] assigned
a[848] assigned
